ID     | Command line                                                                                                                                                 | Date and time    | Action(s)      | Altered
    39 | install https://download1.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-37.noarch.rpm                                                               | 2023-05-26 09:46 | Install        |    1 > 
    38 | update                                                                                                                                                       | 2023-05-26 09:46 | Upgrade        |   27   
    37 |                                                                                                                                                              | 2023-05-24 14:53 | Install        |    2   
    36 |                                                                                                                                                              | 2023-05-24 14:51 | Install        |    2   
    35 |                                                                                                                                                              | 2023-05-24 14:51 | Install        |    6   
    34 |                                                                                                                                                              | 2023-05-24 14:46 | Install        |    1   
    33 |                                                                                                                                                              | 2023-05-24 14:46 | Install        |    6   
    32 |                                                                                                                                                              | 2023-05-24 14:45 | Install        |    1   
    31 |                                                                                                                                                              | 2023-05-24 14:45 | Install        |    1   
    30 |                                                                                                                                                              | 2023-05-24 11:07 | Install        |   11   
    29 | update                                                                                                                                                       | 2023-05-24 08:02 | Upgrade        |   72 EE
    28 | install x2goserver x2goclient                                                                                                                                | 2023-05-19 18:19 | Install        |    2   
    27 | install x2goserver                                                                                                                                           | 2023-05-19 18:18 | Install        |   26 EE
    26 | install xterm                                                                                                                                                | 2023-05-19 18:08 | Install        |    1   
    25 |                                                                                                                                                              | 2023-05-19 13:13 | Install        |    1   
    24 | install tk tcllib                                                                                                                                            | 2023-05-19 12:43 | Install        |    1   
    23 | -y install xrdp tigervnc-server                                                                                                                              | 2023-05-18 16:44 | Install        |    2   
    22 | install xrdp                                                                                                                                                 | 2023-05-18 16:42 | Install        |    3   
    21 | install gh                                                                                                                                                   | 2023-05-18 16:32 | Install        |    1  <
    20 | install @Cinnamon Desktop                                                                                                                                    | 2023-05-18 14:25 | Install        |  193 >E
    19 | install -y yum-utils --disablerepo=eugeny_tabby                                                                                                              | 2023-05-18 14:18 | Install        |    1   
    18 | install @kde-desktop-environment switchdesk switchdesk-gui                                                                                                   | 2023-05-18 14:07 | Install        |  542 EE
    17 |                                                                                                                                                              | 2023-05-18 13:57 | Install        |    1   
    16 | install sway                                                                                                                                                 | 2023-05-18 13:39 | Install        |   20   
    15 | -y install kernel-devel kernel-headers                                                                                                                       | 2023-05-18 12:15 | Install        |    6   
    14 |                                                                                                                                                              | 2023-05-18 12:05 | Install        |   34   
    13 |                                                                                                                                                              | 2023-05-18 12:05 | Install        |    1   
    12 |                                                                                                                                                              | 2023-05-18 12:05 | Install        |    1   
    11 |                                                                                                                                                              | 2023-05-18 11:59 | Install        |   44   
    10 |                                                                                                                                                              | 2023-05-18 11:57 | Install        |   81   
     9 |                                                                                                                                                              | 2023-05-18 11:56 | Install        |    1   
     8 | install make gcc patch zlib-devel bzip2 bzip2-devel readline-devel sqlite sqlite-devel openssl-devel tk-devel libffi-devel xz-devel libuuid-devel gdbm-devel | 2023-05-18 10:19 | Install        |   44   
     7 | remove poetry                                                                                                                                                | 2023-05-18 10:08 | Removed        |   37   
     6 |                                                                                                                                                              | 2023-05-18 10:01 | Install        |    1   
     5 | install poetry                                                                                                                                               | 2023-05-18 09:46 | Install        |   37   
     4 |                                                                                                                                                              | 2023-05-18 09:41 | Upgrade        |    3   
     3 | install rclone                                                                                                                                               | 2023-05-17 18:14 | Install        |    1   
     2 |                                                                                                                                                              | 2023-05-17 16:06 | E, I, U        |  861  <
     1 |                                                                                                                                                              | 2022-11-05 04:25 | Install        | 1796 >E
